ID,NOMBRE,MARCA,PRECIO,CARACTERISTICAS
41,Transportadora para perros,Amazonbasics,27.09,"['aprobada por aerolíneas', 'puerta con cierre seguro', 'ventilación adecuada']"
4,Arenero para gatos,Arm & hammer,21.67,"['control de olores', 'fácil de limpiar']"
6,Cama para perros,Aspen pet,32.51,"['material suave', 'lavable a máquina', 'cómoda y acogedora']"
28,Comedero para mascotas,Bergan,8.66,"['antideslizante', 'fácil de limpiar', 'duradero']"
42,Juguete para gatos,Bergan turbo scratcher,16.25,"['incluye bola y rascador', 'estimula el juego y el rascado']"
15,Alimento para perros,Blue buffalo,23.84,"['ingredientes naturales', 'sin granos', 'para razas pequeñas']"
17,Juguete para gatos,Cat dancer,6.49,"['juguete interactivo', 'atrae la atención de los gatos', 'horas de diversión']"
23,Juguete para perros,Chuckit!,9.75,"['resistente', 'ideal para juegos de lanzamiento']"
30,Collar para perros,Coastal,10.83,"['ajustable', 'cierre de seguridad', 'diseño atractivo']"
5,Correa para perros,Flexi,27.09,"['extensible', 'mango ergonómico', 'cinta reflectante']"
47,Cama para gatos,Frisco,24.92,"['material suave y cálido', 'diseño compacto', 'ideal para espacios pequeños']"
7,Juguete para gatos,Frolicat,21.67,"['juguete interactivo', 'movimientos impredecibles', 'mantiene a los gatos activos']"
26,Rascador para gatos,Gopetclub,54.19,"['área de juego y descanso', 'poste para rascar', 'incluye juguetes colgantes']"
34,Bebedero para mascotas,Gravity waterer,14.08,"['capacidad de 1 galón', 'mantiene el agua fresca']"
10,Correa para perros,Halti,16.25,"['control de tirones', 'ajustable', 'cómoda para el perro y el dueño']"
37,Cepillo para gatos,Hertzko,8.66,"['suave y seguro', 'elimina el pelo muerto', 'promueve un pelaje saludable']"
18,Alimento para perros,Iams,15.72,"['control de peso', 'proteínas de calidad', 'sabor delicioso']"
3,Juguete para perros,Kong,16.80,"['duradero', 'ideal para masticadores agresivos']"
27,Juguete interactivo para perros,Kong wobbler,16.25,"['dispensador de alimentos', 'mantiene a los perros entretenidos']"
21,Cama para perros,Kuranda,75.87,"['elevada', 'duradera', 'fácil de limpiar']"
19,Arenero para gatos,Litter genie,21.67,"['fácil eliminación de desechos', 'control de olores', 'práctico y conveniente']"
46,Correa para perros,Max and neo,18.42,"['reflectante', 'mango acolchado', 'resistente y duradera']"
45,Alimento para perros,Merrick,26.01,"['ingredientes de calidad', 'sin granos', 'promueve una digestión saludable']"
24,Corral para mascotas,Midwest homes for pets,43.35,"['plegable', 'fácil de transportar', 'espacioso']"
25,Alimento para perros,Nutro,19.50,"['ingredientes de calidad', 'sin conservantes artificiales', 'salud digestiva']"
13,Juguete para perros,Nylabone,10.83,"['resistente a la masticación', 'ayuda a la higiene dental']"
44,Juguete para perros,Nylabone dura,10.83,"['resistente a la masticación', 'promueve la salud dental', 'diversión duradera']"
36,Juguete para perros,Outward hound,13.00,"['texturas variadas', 'estimula el juego activo']"
32,Alimento para perros,Pedigree,21.14,"['ingredientes naturales', 'sin granos', 'salud óptima']"
43,Cepillo para perros,Pedigree,19.50,"['remueve el pelo suelto', 'fácil de limpiar', 'para pelo corto o largo']"
1,Alimento para perros,Pedigree,14.08,"['sabor delicioso', 'nutrición equilibrada', 'contiene vitaminas y minerales']"
39,Ropa para perros,Pet life,21.67,"['diseño moderno', 'cómoda y ajustable', 'ideal para climas fríos']"
12,Cama para gatos,Petfusion,37.93,"['diseño elegante', 'material duradero', 'fácil de limpiar']"
49,Arenero para gatos,Petmate,18.42,"['fácil acceso', 'borde alto', 'fácil de limpiar']"
9,Alimento para perros,Pro plan,20.05,"['ingredientes naturales', 'alta digestibilidad', 'para todas las etapas de vida']"
2,Alimento para gatos,Purina one,10.83,"['alta calidad', 'proteínas de primera', 'promueve un pelaje saludable']"
14,Arenero para gatos,Purina tidy cats,14.08,"['sistema todo en uno', 'bandeja removible', 'fácil de mantener']"
31,Arnés para perros,Rabbitgoo,21.67,"['ajustable', 'cómodo', 'control de tirones']"
29,Alimento para gatos,Royal canin,27.09,"['fórmula específica para razas', 'salud digestiva', 'pelo brillante']"
20,Correa para perros,Ruffwear,30.34,"['resistente al agua', 'ideal para actividades al aire libre', 'cómoda para el perro y el dueño']"
35,Peine para perros,Safari,10.83,"['elimina nudos y pelo suelto', 'ideal para perros de pelo largo']"
11,Alimento para gatos,Science diet,18.42,"['fórmula equilibrada', 'control de peso', 'promueve la salud urinaria']"
16,Transportadora para gatos,Sherpa,35.76,"['aprobada por aerolíneas', 'cómoda y segura', 'ventilación adecuada']"
33,Juguete para gatos,Temperament pet,7.58,"['rellenable con catnip', 'estimula el instinto de caza']"
8,Acuario,Tetra,43.35,"['10 galones', 'filtro incorporado', 'ideal para peces tropicales']"
40,Alimento para peces,Tetra,6.49,"['variedad de sabores', 'alta calidad nutricional', 'para peces tropicales']"
22,Alimento para gatos,Wellness,24.39,"['ingredientes naturales', 'alta calidad', 'promueve la salud digestiva', 'sin granos']"
38,Arena para gatos,Wellness,16.25,"['ecológica', 'sin polvo', 'control de olores eficiente']"
50,Alimento para perros,Wellness core,32.51,"['alta proteína', 'ingredientes naturales', 'sin granos', 'salud digestiva']"
48,Juguete para perros,West paw design,15.17,"['resistente', 'libre de bpa', 'ideal para juegos de buscar']"
