ID,NOMBRE,MARCA,PRECIO,CARACTERISTICAS
1,Alimento para perros,Pedigree,12.99,"['sabor delicioso', 'nutrición equilibrada', 'contiene vitaminas y minerales']"
2,Alimento para gatos,Purina one,9.99,"['alta calidad', 'proteínas de primera', 'promueve un pelaje saludable']"
3,Juguete para perros,Kong,15.5,"['duradero', 'ideal para masticadores agresivos']"
4,Arenero para gatos,Arm & hammer,19.99,"['control de olores', 'fácil de limpiar']"
5,Correa para perros,Flexi,24.99,"['extensible', 'mango ergonómico', 'cinta reflectante']"
6,Cama para perros,Aspen pet,29.99,"['material suave', 'lavable a máquina', 'cómoda y acogedora']"
7,Juguete para gatos,Frolicat,19.99,"['juguete interactivo', 'movimientos impredecibles', 'mantiene a los gatos activos']"
8,Acuario,Tetra,39.99,"['10 galones', 'filtro incorporado', 'ideal para peces tropicales']"
9,Alimento para perros,Pro plan,18.5,"['ingredientes naturales', 'alta digestibilidad', 'para todas las etapas de vida']"
10,Correa para perros,Halti,14.99,"['control de tirones', 'ajustable', 'cómoda para el perro y el dueño']"
11,Alimento para gatos,Science diet,16.99,"['fórmula equilibrada', 'control de peso', 'promueve la salud urinaria']"
12,Cama para gatos,Petfusion,34.99,"['diseño elegante', 'material duradero', 'fácil de limpiar']"
13,Juguete para perros,Nylabone,9.99,"['resistente a la masticación', 'ayuda a la higiene dental']"
14,Arenero para gatos,Purina tidy cats,12.99,"['sistema todo en uno', 'bandeja removible', 'fácil de mantener']"
15,Alimento para perros,Blue buffalo,21.99,"['ingredientes naturales', 'sin granos', 'para razas pequeñas']"
16,Transportadora para gatos,Sherpa,32.99,"['aprobada por aerolíneas', 'cómoda y segura', 'ventilación adecuada']"
17,Juguete para gatos,Cat dancer,5.99,"['juguete interactivo', 'atrae la atención de los gatos', 'horas de diversión']"
18,Alimento para perros,Iams,14.5,"['control de peso', 'proteínas de calidad', 'sabor delicioso']"
19,Arenero para gatos,Litter genie,19.99,"['fácil eliminación de desechos', 'control de olores', 'práctico y conveniente']"
20,Correa para perros,Ruffwear,27.99,"['resistente al agua', 'ideal para actividades al aire libre', 'cómoda para el perro y el dueño']"
21,Cama para perros,Kuranda,69.99,"['elevada', 'duradera', 'fácil de limpiar']"
22,Alimento para gatos,Wellness,22.5,"['ingredientes naturales', 'alta calidad', 'promueve la salud digestiva', 'sin granos']"
23,Juguete para perros,Chuckit!,8.99,"['resistente', 'ideal para juegos de lanzamiento']"
24,Corral para mascotas,Midwest homes for pets,39.99,"['plegable', 'fácil de transportar', 'espacioso']"
25,Alimento para perros,Nutro,17.99,"['ingredientes de calidad', 'sin conservantes artificiales', 'salud digestiva']"
26,Rascador para gatos,Gopetclub,49.99,"['área de juego y descanso', 'poste para rascar', 'incluye juguetes colgantes']"
27,Juguete interactivo para perros,Kong wobbler,14.99,"['dispensador de alimentos', 'mantiene a los perros entretenidos']"
28,Comedero para mascotas,Bergan,7.99,"['antideslizante', 'fácil de limpiar', 'duradero']"
29,Alimento para gatos,Royal canin,24.99,"['fórmula específica para razas', 'salud digestiva', 'pelo brillante']"
30,Collar para perros,Coastal,9.99,"['ajustable', 'cierre de seguridad', 'diseño atractivo']"
31,Arnés para perros,Rabbitgoo,19.99,"['ajustable', 'cómodo', 'control de tirones']"
32,Alimento para perros,Pedigree,19.5,"['ingredientes naturales', 'sin granos', 'salud óptima']"
33,Juguete para gatos,Temperament pet,6.99,"['rellenable con catnip', 'estimula el instinto de caza']"
34,Bebedero para mascotas,Gravity waterer,12.99,"['capacidad de 1 galón', 'mantiene el agua fresca']"
35,Peine para perros,Safari,9.99,"['elimina nudos y pelo suelto', 'ideal para perros de pelo largo']"
36,Juguete para perros,Outward hound,11.99,"['texturas variadas', 'estimula el juego activo']"
37,Cepillo para gatos,Hertzko,7.99,"['suave y seguro', 'elimina el pelo muerto', 'promueve un pelaje saludable']"
38,Arena para gatos,Wellness,14.99,"['ecológica', 'sin polvo', 'control de olores eficiente']"
39,Ropa para perros,Pet life,19.99,"['diseño moderno', 'cómoda y ajustable', 'ideal para climas fríos']"
40,Alimento para peces,Tetra,5.99,"['variedad de sabores', 'alta calidad nutricional', 'para peces tropicales']"
41,Transportadora para perros,Amazonbasics,24.99,"['aprobada por aerolíneas', 'puerta con cierre seguro', 'ventilación adecuada']"
42,Juguete para gatos,Bergan turbo scratcher,14.99,"['incluye bola y rascador', 'estimula el juego y el rascado']"
43,Cepillo para perros,Pedigree,17.99,"['remueve el pelo suelto', 'fácil de limpiar', 'para pelo corto o largo']"
44,Juguete para perros,Nylabone dura,9.99,"['resistente a la masticación', 'promueve la salud dental', 'diversión duradera']"
45,Alimento para perros,Merrick,23.99,"['ingredientes de calidad', 'sin granos', 'promueve una digestión saludable']"
46,Correa para perros,Max and neo,16.99,"['reflectante', 'mango acolchado', 'resistente y duradera']"
47,Cama para gatos,Frisco,22.99,"['material suave y cálido', 'diseño compacto', 'ideal para espacios pequeños']"
48,Juguete para perros,West paw design,13.99,"['resistente', 'libre de bpa', 'ideal para juegos de buscar']"
49,Arenero para gatos,Petmate,16.99,"['fácil acceso', 'borde alto', 'fácil de limpiar']"
50,Alimento para perros,Wellness core,29.99,"['alta proteína', 'ingredientes naturales', 'sin granos', 'salud digestiva']"
51,bolsa de comida,Pedigree,15.0,"['duro', 'fuerte']"
